gene	AdrenalCortex	Appendix	BDCA4DentriticCells	BLymphoblasts	BrainAmygdala	CD105Endothelial	CD14Monocytes	CD19BCells	CD33Myeloid	CD34	CD4TCells	CD56NKCells	CD71EarlyErythroid	CD8TCells	CardiacMyocytes	CerebellumPeduncles	CingulateCortex	ColorectalAdenocarc	ColorectalAdenocarcinoma	Corpus	DRG	FETALTHYROID	Ganglion	GermCell	HBEC	HEART	HUMANCULTUREDADIPOCYTE	Heart	Hypothalamus	Intersitial	Islet	IsletCell	LIVER	LeydigCell	Liver	Lung	LymphomaRaji	Oblongata	OccipitalLobe	OlfactoryBulb	Ovary	PLACENTA	PROSTATE	Pancreas	ParietalLobe	Pituitary	Pons	PrefrontalCortex	Prostate	Psoas	SeminiferousTubule	SmoothMuscle	TONGUE	TemporalLobe	Testi-GermCell	TestiIntersitial	TestiLeydigCell	TestiSeminiferousTubule	Thyroid	Tonsil	UTERUS	Uterus	WHOLEBLOOD(JJV)	WholeBrain	adrenalgland	bonemarrow	brain,caudatenucleus	brainThalamus	cerebellum	fetalThyroid	fetalbrain	fetalliver	fetallung	ganglion	kidney	leukemia,chronicMyelogenousK-562	leukemia,promyelocytic-HL-60	leukemialymphoblastic(MOLT-4)	lung	lymphnode	lymphomaburkittsDaudi	node	nucleus	pallidus	pituitary	salivarygland	skin	spinalcord	testis	thymus	trachea	wholebrain	Development
AATK	9.586276858238529	9.182518504262218	6.023477151830433	5.525129251203973	11.453219181772138	4.332707933640605	6.706668682179746	5.274261661257048	7.415741768290091	6.441284271927038	4.4950555283680185	6.3416300093299105	7.141596278383818	4.5453506448223	8.728940868403374	10.463830862322553	11.643518018493522	8.030115330908071	8.422905742612183	7.096978636370537	11.420907622543767	7.875902903124834	11.60822016360899	8.65176927141799	7.448322832507502	7.465974464504069	7.8719052376591865	9.798957747900428	11.11022228303048	8.043300754364182	8.333602628268281	7.85049941375812	9.347621368568134	9.465158229664254	8.203103250236637	9.67383905599044	6.7481928495894605	11.389335564525776	11.195618275123085	11.447987210958042	8.5376066914952915	8.166163082646113	8.908092340818271	8.682643520280294	11.631813665875132	9.515305605451724	11.131953394220064	10.940387014872805	8.197216693110052	10.404077136241234	9.114002556816232	7.321928094887363	8.764208130139947	10.686719366021846	8.410239330776022	9.96289600533726	9.733523820207665	8.204571144249204	7.860155834623362	8.030115330908071	7.717676423066396	6.933100474931368	9.15241161134501	11.038507515683708	9.79685079526716	9.392639416986299	11.150508905163967	11.066862816624626	11.039535979744244	8.258330472612425	9.110613805500897	7.029011086659068	8.547087320664728	10.240850946427823	7.2512456897991235	6.149747119504682	6.582706526780789	6.305605789585429	9.407267764244732	6.894817763307944	8.018478395965932	10.776268519639848	11.06420384242763	10.893642822122864	9.523365924391396	8.693486957499326	6.474922700379797	11.132949497609804	9.20896588630656	7.1543118114364885	8.614709844115207	11.168922781852936	Development
ABAT	7.056908618323252	7.597804273209699	4.538124250259905	3.608809242675524	10.13982843919733	4.452858964713811	6.393461964719701	4.7432636180665755	6.400594852980958	4.6865005271832185	5.165242008558716	5.611270760148437	5.584962500721156	5.159198594849254	6.790294187615998	9.26877590027484	10.112656698357558	7.097681019559138	6.312882955284356	7.439346095781731	7.999060439536386	7.269282553498972	9.055689153083422	7.9397750862912195	5.789642318469782	8.502898087636666	6.841721581128462	6.329123596291566	10.108437334881897	8.111483475212498	6.8189016758856384	6.92362461136832	9.097768793418616	7.627898615871748	8.914584454488018	6.240950298063819	5.841721581128462	9.733326092079107	9.908242488608478	8.187764448518694	6.0945175987842894	7.1588621062084545	8.34887566152029	7.430173743076223	10.10136293148753	9.115910654419107	9.994353436858859	10.229199351463336	7.445980459069478	9.228097162578422	8.440038600494729	5.023846741954368	7.387730153283108	9.348765032467321	8.395177076918001	7.595443984589479	8.393890933960453	8.146695948030656	8.506406766074454	6.337175868586299	6.656305676608219	6.320123598040615	6.872213143975773	10.182146019633214	6.959229197694551	6.7653137283555145	9.915157352844815	9.557080719105294	9.95504442003013	7.479241341706476	9.102806829897519	8.780758465322213	6.365739189367852	8.244680963228813	9.693196530716081	4.808213413627649	4.94173234482082	5.366322214245816	6.0610561102041896	6.007494536546925	5.459431618637297	8.07405223952103	9.872623583534983	10.16852587751339	9.244839501145554	6.254871147696156	7.542902887323306	9.28659626376408	7.650692767171383	5.490784037339749	6.903681039132628	10.035578091706395	Development
ABCA3	7.015693807105145	8.703211467391146	3.643856189774725	3.4982508675278257	9.506902588686781	4.469234793667656	2.4594316186372973	2.277984747299765	4.678071905112637	2.74416109557041	5.584962500721156	5.219168520462161	5.074676686294496	5.1001366712854495	7.290018846932618	8.474111513942407	9.08028457782728	7.324630615267186	6.699051844016849	4.501439145158873	8.539352708701346	8.959712205178686	9.201695115602984	8.277984747299765	4.307428525192248	7.720415284906329	5.7535510546006545	7.420381341196637	8.86124202615477	7.772809410160731	7.0650121504369485	7.384567923173826	6.749534267669262	8.053654417603145	4.902073579310743	10.57146824720058	4.649615459063409	7.8060662260890314	8.786759701267249	7.5054146093467535	5.721099188707185	6.797012977836145	4.8875252707415875	5.487036080031898	9.005624549193879	6.307428525192248	8.761551232444479	9.076815597050832	8.277054876148728	7.576673292516575	8.104860799708199	3.0789513413948217	5.011227255423254	8.865578632870916	5.722466024471091	6.191799501065075	6.808642467918064	6.53605290024021	8.676486041701898	6.459431618637297	6.556122817841175	6.380244590478185	4.307428525192247	8.32237886665822	6.92362461136832	4.689299160535891	7.998590429745328	8.955504613702692	8.14542271960022	8.4241662888181	8.616181231331876	4.346956889378885	9.39810235161161	7.8875252707415875	6.387155717662981	6.813781191217037	3.7865963618908065	5.118941072723508	11.110548559134022	5.590961241342599	4.277984747299765	6.948951200441422	8.990954860396993	8.917670434361762	6.651051691178929	4.768184324776926	5.338067797542616	8.59823864235151	7.678424082592938	6.8060662260890314	5.563768278452033	9.443150764729321	Development
ABCA8	9.029701338354398	9.117253482165166	3.95884267524324	2.37851162325373	9.336506559810255	6.13647851834917	3.8278190246173196	3.9354597478052895	3.683696454306516	3.71699089440494	3.7387678368001915	4.563768278452033	2.292781749227846	2.8875252707415875	7.5995409656440485	7.365010076783025	9.127736443588828	4.044394119358453	3.292781749227846	7.195249157802179	11.247215481657697	8.062316027355715	10.19093579650336	9.361285860047065	5.266786540694901	8.170425850272508	7.628992257142734	7.187846909439575	9.74752167254042	9.053382902585708	7.593204354063288	4.672425341971495	8.19819945543749	8.250298417906333	6.9954845188775066	8.04001567884788	2.8875252707415875	9.377535913626609	9.629538767045434	11.137887713102227	7.8533095554036745	6.782670658677007	8.42710328715284	6.591709333161742	10.012135643583532	7.940754047474802	8.10459875356437	9.09196423348528	7.072534599722955	8.22062016744785	9.227375273626212	7.690347249968758	8.788555214928863	6.717676423066396	10.086401645880029	8.157852169141737	8.906289347406073	8.859534786382653	8.949680829264382	5.783980413683795	8.876516946565	8.43837603039902	4.388878338811989	8.635899465946382	9.360627646192947	6.525912260743351	9.564530600816344	9.18351132669513	7.587964988882679	7.255500733148386	5.467605550082998	7.941341105485299	8.456149034647996	10.734413261582148	7.534108304931793	7.647458426454921	4.129283016944966	3.6322682154995127	7.6858000197448915	6.787249608467913	3.5360529002402097	10.80634822671225	7.8189016758856384	8.853465514005078	8.350055177204501	8.16540952031982	8.7431513941125	9.955649907528374	8.337621901992508	6.600656307826301	8.478971805032943	8.928666412304953	Not_Development
ABLIM3	5.663913842115978	6.702519029153285	2.510961919277379	3.035623909730721	6.511752653767379	4.82781902461732	4.526694845541976	3.683696454306516	2.8278190246173196	4.4822029262959555	3.9020735793107426	2.405992359675837	3.882643049361841	3.3146965256562866	6.227856573060497	9.571278618514595	8.413204789252584	4.584962500721156	3.1210154009613658	5.972692654004264	8.276357079259242	3.2479275134435857	7.2684250360906555	4.560714954474479	5.587964988882679	8.78528898070402	8.731488749870138	8.206526015877428	8.152031270807399	6.704595347632403	5.4822029262959555	3.8278190246173196	6.5804470195986635	6.404290064444837	7.897845456005512	7.3110671022555955	4.292781749227846	7.914684105328389	6.968090752045256	7.267254872151989	4.371558862611963	8.887220615468385	4.694880192799191	4.997744026059632	8.200162973999701	6.20945336562895	7.123604124140949	7.760553632975741	4.5668151540108965	8.380677507222886	5.5109619192773796	6.9277779620823425	7.257859234639629	7.50303064564116	6.876516946564999	6.892391025913404	5.722466024471091	5.426264754702098	3.9307373375628862	4.733354340613827	4.247927513443585	4.169925001442312	4.346956889378885	6.978424465440858	5.878970510151082	5.074676686294496	6.015693807105145	7.342963574398726	9.263269200372662	5.247927513443585	7.098032082960526	6.182890892745479	7.147204924942229	8.16591193893569	7.193278935521388	2.4724877714627436	3.3923174227787602	3.0443941193584534	6.871597265613853	6.891176124754544	3.3923174227787602	6.388878338811989	8.411934624791181	8.54978466794786	6.789207575347344	4.575917361118149	5.648177795724818	8.218926437226274	6.318316841334983	4.666756591884804	5.616181231331876	5.578938713093386	Not_Development
ACKR1	6.578938713093386	9.45994384837493	3.145677455195635	3.0531113364595623	6.851749041416057	6.991521846075695	3.1210154009613658	3.6610654798069477	3.990954860396993	3.867896463992655	5.447909748742077	2.643856189774725	11.310925142437629	4.108524456778169	5.487036080031898	8.40896655165431	6.660352509670921	5.169925001442312	4.620586410451877	6.157852169141737	10.120561896442904	8.325530331567558	9.124767535822473	5.82781902461732	3.9164766444377164	10.007587972319172	5.300123724569014	9.816503711389485	6.49105137636412	7.798309782454597	7.640244936222346	4.070389327891398	5.897240425574799	8.187846909439575	4.986410935252045	8.993221467368938	4.485426827170242	6.490249210627085	7.749534267669262	8.620952902271679	8.355791546753647	5.19377174339668	8.595816918555855	7.13647851834917	8.058262371862472	4.439623137557117	7.103287808412022	7.712527000439823	8.775774868637292	7.819540460505722	6.350497247084133	4.1001366712854495	7.59916899321943	7.582330187913156	9.119978609654877	6.139551352398794	6.563768278452033	7.0650121504369485	7.8875252707415875	6.727920454563199	9.215775653020282	9.940313597145968	3.6147098441152083	6.845490050944375	7.522777669524576	5.883865154509794	6.076815597050831	7.218684313362168	9.290134073564275	8.273795599214264	6.896635141302909	7.9107926130775095	8.695402309352652	10.67529549909406	5.989820220117596	4.469234793667656	3.5109619192773796	4.149747119504682	9.731319031025064	8.67065624911844	4.177917792195843	9.759804980416606	7.594697827323873	7.0601554952546035	6.7114949066500875	7.029011086659068	9.600284622898085	6.764208130139947	5.133399125417198	8.25171909260596	8.908542737317342	7.7528823662730915	Not_Development
ACR	7.739105506793749	6.7528823662730915	3.4724877714627436	4.730639955916791	6.287250643254617	4.807354922057604	3.643856189774725	4.145677455195635	4.281698250098829	5.274261661257048	4.108524456778169	3.9772799234999163	5.207502459258789	3.439623137557117	5.861707286585856	7.527477006060396	8.124896745892945	4.892391025913404	5.22881869049588	6.7741281442935835	9.123862741160714	5.507794640198696	8.24436383512051	10.88683970588442	5.266786540694901	8.195249157802179	7.774787059601174	7.9313284848937915	6.288173968112302	11.367305534770686	5.048759311919856	6.91169158187234	8.337621901992508	9.718361626138355	7.6858000197448915	5.462706750670158	5.614709844115208	7.500642736062805	7.9369323365223945	6.626439136697315	6.988116584760143	7.377210530388552	5.551516017628014	5.549977142771825	8.774951741416418	6.0574502721839	8.024585638278273	7.499845887083206	5.501439145158873	8.140829770773001	10.656246079580805	6.03121873061072	7.616181231331876	8.544964432789238	7.589463892956097	11.415002276801983	10.350828710621695	10.457996407080545	6.330020515836084	6.634448062362308	5.236492618381302	5.095924419998536	5.659639187015652	6.181897643108388	8.25691629667084	6.8561142339774594	7.796364138139627	8.258801556711596	8.478769619475763	5.916476644437717	7.098032082960526	7.115303806152116	4.842978831788326	9.039330345577241	8.650692767171384	5.108524456778169	5.909293085823823	5.312882955284356	6.79051141189419	6.4212232992251375	6.5584207132686645	9.461990950585571	8.441491779304727	7.648896806475254	7.960581211353474	7.543805175964397	8.68457331268207	7.542258049766918	10.323505180276896	6.392317422778761	6.227856573060497	6.368069876532083	Not_Development
ACRV1	8.345368282497374	9.587465007924326	5.476543706214256	5.855906666889713	8.957537396906602	6.266942668073538	5.443219847739409	5.210752505780573	6.461479447286156	5.427382689698672	6.266005650261282	5.648177795724818	6.860155834623362	6.107653000973424	8.590243955826361	8.924886714404948	9.130398956400931	8.702172685365548	7.9140860970127225	9.058690795797178	10.000363915249173	7.282779556995235	10.886303087609255	11.137258015868179	6.749869427396844	9.72882752472253	7.894211461537772	7.963088737291443	8.32796424931415	11.390267497577968	7.602884408718419	7.520946007850001	8.971351948260752	10.851566871450428	8.631419606989164	7.762105156444714	7.550362015400728	9.336897027664484	8.73916177744301	8.218684313362168	8.040837649266594	8.092272638161486	8.489245875833959	7.490850876740298	9.483076777716105	7.937324773122132	9.754205511740192	8.967946705812707	7.567068770086243	10.358120027261558	11.196304992133294	6.858499111506238	8.701970613085521	8.994989779605728	9.222392421336448	11.310622248131363	11.282422429174607	10.70371616083735	8.21091481607392	7.968954727542215	8.109047077700707	7.942709979228963	7.277132388306753	8.358211622875809	8.540515547324931	8.635899465946382	9.026292887978181	8.50637370517406	9.251600756466708	7.82570084035649	8.221184302599369	8.764622828766186	7.335167010001028	10.160354676344907	9.063597314081994	6.729960561018015	6.88467931651836	6.900564957359103	8.015879613666145	7.021720304583884	7.03434045469453	10.341861619488233	9.10521012054305	9.116257310284508	8.305833757515254	7.921146689971675	9.319164040279341	8.305643786742046	10.573481514180429	7.303171887631713	8.449217441781872	8.546765871711528	Development
ACSBG1	7.2174730841407495	7.870210577263594	4.5219929564016725	2.6380738371807184	9.07045641594465	6.652844973001979	4.60733031374961	2.711494906650088	4.551516017628014	4.71699089440494	4.24031432933371	3.4161641647331282	6.117383366931484	4.024585638278273	5.969242604434498	8.702172685365548	9.635219302320145	6.277984747299765	6.205548911173033	7.418695949602051	8.648627219435156	6.605109073832932	9.825356341479335	7.525520809095069	4.640967910449898	8.063934305754099	6.361066488794321	5.7535510546006545	9.260743154294644	7.584210901308018	5.521992956401672	5.490249210627085	6.435461914479276	7.34562701215377	5.354028938054387	5.976134472831654	5.517275693209582	9.038370331730682	9.048963606608671	7.966361247293608	6.0061857999462935	6.281234584647019	5.703211467391146	5.91707366287822	9.22345875201286	6.622783966156123	9.374930790581718	9.65521764314616	5.733354340613827	9.076214348848385	8.456354415108288	3.1127001327493624	7.060425738777149	8.98903963696239	7.390168956200183	7.259272487037594	7.402159366906626	7.7374163659370625	6.227856573060497	6.0579917227591755	5.910492832288714	6.4379600883344725	6.110613805500896	8.845960418293286	6.847683787716849	6.13647851834917	9.630494661505578	9.108263075304334	8.647818155927146	5.287250643254617	7.084011098455035	6.728260672709072	6.024585638278273	8.979139343331154	6.958842675243241	4.22881869049588	5.562242424221073	5.277054876148728	6.417852514885898	5.700439718141092	5.348728154231077	9.408542042296858	8.934133131582259	9.265380633446183	6.847370600905483	6.1153038061521166	8.667732494849162	10.099347810403193	7.418906731257899	7.072266615132068	6.490650349248018	9.432019846812493	Development
ACSBG2	7.346956889378885	6.470862199413702	4.133399125417198	6.016808287686554	8.016529748243485	5.896029602976752	4.77082904603249	5.2384047393250786	5.854245054220128	4.719731056749852	5.279842693520348	4.649615459063409	5.50303064564116	5.645298163948631	8.177917792195844	8.216745858195306	7.794090898437731	7.84987419379562	7.093813673402728	7.430870663548153	8.83099048124926	7.0650121504369485	9.27769422694177	11.735175203702317	5.963474123974886	8.728600810643192	5.272396509037485	7.582706526780788	7.855491443101874	11.691787130816836	7.072534599722955	7.470862199413702	7.514911264861354	11.464239413133322	7.914684105328389	4.608809242675524	6.878970510151082	7.24412594328373	8.1269625347419	5.92955431573285	7.153805336079036	7.5725107596749	8.085870755334613	6.5576551547254205	7.77082904603249	7.11582397743624	8.469234793667656	8.282856762199058	7.099084760891864	8.69522829149575	11.246562476998887	5.515699838284043	7.718704105674892	8.19574129324645	9.25950789456702	11.667333341605158	11.446721473649728	10.500244366588815	7.49545533300987	6.2006534363674675	7.619119511453218	7.242221395098369	7.022367813028454	7.340740280630179	7.247452864634932	7.581577215536518	7.387155717662981	7.838573652668324	7.860155834623362	7.311975314461157	6.742814669862893	7.851124362886753	6.920055054806967	9.425215903299383	8.36872470446112	5.135452784185174	6.4830095771645455	6.357552004618084	7.533719071139903	6.699051844016849	6.264911693074464	9.920650594563984	8.269126679149418	8.246027980528105	6.485426827170242	7.277519886641357	8.820498107431618	7.200162973999702	11.077015957448472	5.785288980704021	7.559950612713083	7.420381341196637	Development
